barangay,municipality,psgc_code
Bagacay,Tigbauan,0603045003
Baguingin,Tigbauan,0603045004
Bagumbayan,Tigbauan,0603045005
Bangkal,Tigbauan,0603045006
Bantud,Tigbauan,0603045007
Barangay 1 (Pob.),Tigbauan,0603045008
Barangay 2 (Pob.),Tigbauan,0603045009
Barangay 3 (Pob.),Tigbauan,0603045010
Barangay 4 (Pob.),Tigbauan,0603045011
Barangay 5 (Pob.),Tigbauan,0603045012
Barangay 6 (Pob.),Tigbauan,0603045013
Barangay 7 (Pob.),Tigbauan,0603045014
Barangay 8 (Pob.),Tigbauan,0603045015
Barangay 9 (Pob.),Tigbauan,0603045016
Barosong,Tigbauan,0603045017
Barroc,Tigbauan,0603045018
Bayuco,Tigbauan,0603045019
Binaliuan Mayor,Tigbauan,0603045020
Binaliuan Menor,Tigbauan,0603045021
Bitas,Tigbauan,0603045022
Buenavista,Tigbauan,0603045023
Bugasongan,Tigbauan,0603045024
Buyu-an,Tigbauan,0603045025
Canabuan,Tigbauan,0603045026
Cansilayan,Tigbauan,0603045027
Cordova Norte,Tigbauan,0603045028
Cordova Sur,Tigbauan,0603045029
Danao,Tigbauan,0603045030
Dapdap,Tigbauan,0603045031
Dorong-an,Tigbauan,0603045032
Guisian,Tigbauan,0603045033
Isauan,Tigbauan,0603045034
Isian,Tigbauan,0603045035
Jamog,Tigbauan,0603045036
Lanag,Tigbauan,0603045037
Linobayan,Tigbauan,0603045038
Lubog,Tigbauan,0603045039
Nagba,Tigbauan,0603045040
Namocon,Tigbauan,0603045041
Napnapan Norte,Tigbauan,0603045042
Napnapan Sur,Tigbauan,0603045043
Olo Barroc,Tigbauan,0603045044
Parara Norte,Tigbauan,0603045045
Parara Sur,Tigbauan,0603045046
San Rafael,Tigbauan,0603045047
Sermon,Tigbauan,0603045048
Sipitan,Tigbauan,0603045049
Supa,Tigbauan,0603045050
Tan Pael,Tigbauan,0603045051
Taro,Tigbauan,0603045052
Adgao,Tubungan,0603046001
Ago,Tubungan,0603046002
Ambarihon,Tubungan,0603046003
Ayubo,Tubungan,0603046004
Bacan,Tubungan,0603046005
Badiang,Tubungan,0603046007
Bagunanay,Tubungan,0603046006
Balicua,Tubungan,0603046008
Bantayanan,Tubungan,0603046009
Batga,Tubungan,0603046013
Bato,Tubungan,0603046014
Bikil,Tubungan,0603046015
Boloc,Tubungan,0603046016
Bondoc,Tubungan,0603046017
Borong,Tubungan,0603046018
Buenavista,Tubungan,0603046019
Cadabdab,Tubungan,0603046020
Daga-ay,Tubungan,0603046021
Desposorio,Tubungan,0603046022
Igdampog Norte,Tubungan,0603046023
Igdampog Sur,Tubungan,0603046024
Igpaho,Tubungan,0603046025
Igtuble,Tubungan,0603046026
Ingay,Tubungan,0603046027
Isauan,Tubungan,0603046028
Jolason,Tubungan,0603046029
Jona,Tubungan,0603046030
La-ag,Tubungan,0603046031
Lanag Norte,Tubungan,0603046032
Lanag Sur,Tubungan,0603046033
Male,Tubungan,0603046034
Mayang,Tubungan,0603046035
Molina,Tubungan,0603046036
Morcillas,Tubungan,0603046037
Nagba,Tubungan,0603046038
Navillan,Tubungan,0603046039
Pinamacalan,Tubungan,0603046040
San Jose,Tubungan,0603046041
Sibucauan,Tubungan,0603046042
Singon,Tubungan,0603046043
Tabat,Tubungan,0603046044
Tagpu-an,Tubungan,0603046045
Talento,Tubungan,0603046046
Teniente Benito,Tubungan,0603046047
Victoria,Tubungan,0603046048
Zone I (Pob.),Tubungan,0603046010
Zone II (Pob.),Tubungan,0603046011
Zone III (Pob.),Tubungan,0603046012
Balud I,Zarraga,0603047002
Balud II,Zarraga,0603047003
Balud Lilo-an,Zarraga,0603047001
Dawis Centro,Zarraga,0603047004
Dawis Norte,Zarraga,0603047005
Dawis Sur,Zarraga,0603047006
Gines,Zarraga,0603047007
Ilawod Poblacion,Zarraga,0603047016
Ilaya Poblacion,Zarraga,0603047017
Inagdangan Centro,Zarraga,0603047008
Inagdangan Norte,Zarraga,0603047009
Inagdangan Sur,Zarraga,0603047010
Jalaud Norte,Zarraga,0603047011
Jalaud Sur,Zarraga,0603047012
Libongcogon,Zarraga,0603047013
Malunang,Zarraga,0603047014
Pajo,Zarraga,0603047015
Sambag,Zarraga,0603047018
Sigangao,Zarraga,0603047019
Talauguis,Zarraga,0603047020
Talibong,Zarraga,0603047021
Tubigan,Zarraga,0603047022
Tuburan,Zarraga,0603047023
Tuburan Sulbod,Zarraga,0603047024
